channel_idx,acc
0,100.0
26,100.0
27,100.0
30,100.0
31,100.0
33,100.0
34,100.0
36,100.0
37,100.0
38,100.0
25,100.0
39,100.0
41,100.0
44,100.0
45,100.0
47,100.0
48,100.0
49,100.0
50,100.0
53,100.0
55,100.0
40,100.0
24,100.0
59,100.0
9,100.0
2,100.0
12,100.0
13,100.0
17,100.0
14,100.0
15,100.0
23,100.0
6,100.0
51,100.0
32,100.0
22,100.0
21,100.0
20,100.0
19,100.0
43,100.0
58,100.0
3,100.0
42,100.0
1,100.0
29,100.0
16,99.9913397419243
56,99.9913397419243
46,99.9913397419243
5,99.9913397419243
8,99.98267948384861
11,80.73958603966398
54,77.015675067117
10,35.71490430414826
28,6.954187234779596
35,0.4243526457088421
18,0.0
4,0.0
7,0.0
52,0.0
57,0.0
